Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
60.354,2.95362,8567.5166,0.02242
60.454,2.962,8577.60645,0.02249
60.554,2.9705,8584.68652,0.02255
60.654,2.97862,8592.70312,0.02262
60.754,2.98706,8603.48633,0.02268
60.854,2.99562,8610.75488,0.02275
60.954,3.00369,8615.05078,0.02281
61.054,3.012,8624.27832,0.02288
61.154,3.02031,8631.27539,0.02294
61.254,3.02856,8639.40527,0.02301
61.354,3.03712,8651.9541,0.02308
61.454,3.04556,8661.16895,0.02314
61.554,3.05394,8663.07129,0.02321
61.654,3.06187,8671.31543,0.02327
61.754,3.07025,8681.14258,0.02334
61.854,3.07869,8687.90332,0.0234
61.954,3.08681,8696.31348,0.02347
62.054,3.09544,8708.00586,0.02354
62.154,3.10387,8714.30469,0.0236
62.254,3.112,8718.17969,0.02367
62.354,3.12037,8728.77051,0.02373
62.454,3.12887,8738.53613,0.0238
62.554,3.13706,8740.81934,0.02386
62.654,3.14512,8748.51465,0.02393
62.754,3.15369,8761.42383,0.02399
62.854,3.16212,8766.81348,0.02406
62.954,3.17037,8775.85547,0.02413
63.054,3.17894,8785.45508,0.02419
63.154,3.18712,8789.07031,0.02426
63.254,3.19531,8795.88184,0.02432
63.354,3.2035,8802.99512,0.02439
63.454,3.21194,8814.8877,0.02445
63.554,3.2205,8823.55078,0.02452
63.654,3.22869,8830.09375,0.02459
63.754,3.23706,8837.85938,0.02465
63.854,3.2455,8842.72949,0.02472
63.954,3.25356,8848.57129,0.02478
64.054,3.262,8860.49805,0.02485
64.154,3.27037,8865.87793,0.02491
64.254,3.27862,8871.45801,0.02498
64.354,3.28706,8882.11523,0.02504
64.454,3.29544,8891.42578,0.02511
64.554,3.30394,8896.36523,0.02518
64.654,3.31194,8903.09668,0.02524
64.754,3.32044,8911.95996,0.02531
64.854,3.32869,8915.20215,0.02537
64.954,3.33669,8922.26758,0.02544
65.054,3.34544,8937.41895,0.0255
65.154,3.35387,8943.32812,0.02557
65.254,3.36212,8946.14941,0.02564
65.354,3.37044,8953.48242,0.0257
65.454,3.37869,8960.78711,0.02577
65.554,3.387,8965.09473,0.02583
65.654,3.39519,8975.46973,0.0259
65.754,3.40381,8986.47266,0.02596
65.854,3.41231,8991.10156,0.02603
65.954,3.42025,8995.45508,0.02609
66.054,3.42875,9005.29297,0.02616
66.154,3.43719,9013.91504,0.02623
66.254,3.44537,9019.64648,0.02629
66.354,3.45362,9024.56152,0.02636
66.454,3.462,9034.73242,0.02642
66.554,3.47037,9040.31348,0.02649
66.654,3.47869,9050.03809,0.02655
66.754,3.48719,9058.79492,0.02662
66.854,3.49562,9062.83887,0.02669
66.954,3.50369,9065.91602,0.02675
67.054,3.51187,9074.00977,0.02682
67.154,3.52025,9081.57422,0.02688
67.254,3.52869,9090.68945,0.02695
67.354,3.53712,9099.61621,0.02701
67.454,3.54562,9107.11523,0.02708
67.554,3.55381,9107.52148,0.02715
67.654,3.56181,9115.79297,0.02721
67.754,3.57037,9127.3457,0.02728
67.854,3.57869,9130.66504,0.02734
67.954,3.58675,9136.42871,0.0274
68.054,3.5955,9149.44434,0.02747
68.154,3.60375,9153.10352,0.02754
68.254,3.61206,9158.81738,0.0276
68.354,3.62037,9166.76758,0.02767
68.454,3.62881,9173.5625,0.02774
68.554,3.63706,9175.25293,0.0278
68.654,3.64506,9182.50488,0.02786
68.754,3.65369,9194.74316,0.02793
68.854,3.66231,9201.38086,0.028
68.954,3.67037,9205.93066,0.02806
69.054,3.67887,9213.89648,0.02813
69.154,3.68719,9220.18262,0.0282
69.254,3.69525,9222.96973,0.02826
69.354,3.70356,9231.98535,0.02832
69.454,3.712,9242.0957,0.02839
69.554,3.7205,9247.35059,0.02846
69.654,3.72869,9253.94141,0.02852
69.754,3.737,9261.13379,0.02859
69.854,3.74556,9267.43262,0.02866
69.954,3.75369,9272.51465,0.02872
70.054,3.762,9279.3916,0.02878
70.154,3.77044,9285.23438,0.02885
70.254,3.77862,9290.57422,0.02892
70.354,3.78694,9299.24805,0.02898
